variety,FPS clone number
Zinfandel,40
Zinfandel,29.1
Zinfandel,09
Zinfandel,10
Zinfandel,11
Zinfandel,12
Zinfandel,22
Zinfandel,23
Zinfandel,24
Zinfandel,25
Zinfandel,26
Zinfandel,27
Zinfandel,14
Zinfandel,18
Zinfandel,19
Zinfandel,17
Zinfandel,13
Zinfandel,45.1
Zinfandel,35.1
Zinfandel,17.1
Zinfandel,18.1
Zinfandel,19.1
Zinfandel,21.1
Zinfandel,31.1
Zinfandel,28.1
Zinfandel,32.1
Zinfandel,46.1
Zinfandel,47.1
Zinfandel,42.1
Zinfandel,44.1
Zinfandel,43.1
Zinfandel,33.1
Zinfandel,13.1
Zinfandel,40.1
Zinfandel,29
Zinfandel,15.1
Zinfandel,39.1
Zinfandel,36.1
Zinfandel,50.1
Zinfandel,55.1
Zinfandel,57.1
Zlahtina,01.1
Zweigelt,
